"GEOID","MAMMOUSE_CrudePrev","MAMMOUSE_Crude95CI"
"06085500100","76.4","(70.1, 82.0)"
"06085500200","78.6","(72.5, 84.0)"
"06085500300","78.3","(72.1, 83.6)"
"06085500400","80.1","(74.2, 85.2)"
"06085500500","79.5","(73.6, 84.6)"
"06085500600","78.5","(72.4, 83.8)"
"06085500800","79.9","(74.2, 85.0)"
"06085500901","74.7","(68.0, 80.8)"
"06085500902","65.7","(57.8, 73.1)"
"06085501000","73.6","(66.8, 79.6)"
"06085501101","76.7","(70.1, 82.4)"
"06085501102","77.7","(71.4, 83.1)"
"06085501200","75.1","(68.1, 81.0)"
"06085501300","75.4","(68.8, 81.4)"
"06085501401","73.9","(67.0, 79.9)"
"06085501402","75.2","(68.5, 81.2)"
"06085501501","71.5","(64.4, 78.0)"
"06085501502","74.5","(67.7, 80.6)"
"06085501601","76.4","(69.8, 82.0)"
"06085501602","67.5","(59.5, 74.4)"
"06085501700","75.0","(68.3, 81.1)"
"06085501800","78.5","(72.4, 83.8)"
"06085501901","81.2","(75.7, 86.1)"
"06085501902","77.9","(71.7, 83.3)"
"06085502001","77.6","(71.4, 83.0)"
"06085502002","77.8","(71.4, 83.2)"
"06085502101","79.4","(73.6, 84.5)"
"06085502103","78.3","(72.0, 83.6)"
"06085502104","80.8","(75.1, 85.8)"
"06085502202","77.3","(70.7, 82.9)"
"06085502203","79.4","(73.5, 84.5)"
"06085502204","72.1","(65.0, 78.5)"
"06085502301","82.0","(76.8, 86.6)"
"06085502302","78.4","(72.3, 83.8)"
"06085502400","77.6","(71.2, 83.1)"
"06085502500","79.1","(73.2, 84.3)"
"06085502601","80.6","(74.9, 85.6)"
"06085502603","80.2","(74.4, 85.2)"
"06085502604","80.8","(75.2, 85.6)"
"06085502701","78.4","(72.2, 83.7)"
"06085502703","79.3","(73.2, 84.4)"
"06085502704","80.1","(74.4, 85.2)"
"06085502800","78.4","(72.4, 83.8)"
"06085502901","80.1","(74.3, 85.2)"
"06085502902","78.7","(72.6, 84.0)"
"06085502903","81.6","(76.1, 86.4)"
"06085502906","79.8","(73.9, 84.9)"
"06085502907","79.3","(73.3, 84.5)"
"06085502908","76.9","(70.6, 82.5)"
"06085502909","79.9","(74.0, 84.9)"
"06085502910","79.0","(73.0, 84.2)"
"06085503001","80.1","(74.2, 85.1)"
"06085503002","79.1","(73.2, 84.3)"
"06085503003","79.9","(74.0, 85.0)"
"06085503105","71.0","(63.7, 77.5)"
"06085503110","69.7","(61.8, 76.6)"
"06085503111","75.9","(69.3, 81.7)"
"06085503112","74.7","(68.1, 80.7)"
"06085503113","73.4","(66.3, 79.8)"
"06085503116","74.2","(67.2, 80.1)"
"06085503117","74.2","(67.0, 80.4)"
"06085503118","71.0","(63.7, 77.6)"
"06085503121","72.5","(65.5, 78.8)"
"06085503122","72.1","(64.8, 78.5)"
"06085503123","74.8","(68.1, 80.7)"
"06085503124","75.2","(68.7, 81.3)"
"06085503125","82.0","(76.6, 86.7)"
"06085503126","74.5","(67.8, 80.4)"
"06085503127","81.4","(75.9, 86.1)"
"06085503207","77.8","(71.6, 83.4)"
"06085503208","75.5","(68.7, 81.5)"
"06085503210","73.6","(66.7, 79.7)"
"06085503211","76.7","(70.0, 82.3)"
"06085503212","78.9","(72.7, 84.3)"
"06085503213","71.4","(64.1, 77.9)"
"06085503217","73.2","(66.4, 79.6)"
"06085503218","73.0","(65.9, 79.3)"
"06085503219","71.3","(63.9, 78.0)"
"06085503220","76.1","(69.4, 82.0)"
"06085503221","71.5","(64.1, 78.0)"
"06085503222","73.6","(66.4, 80.0)"
"06085503304","73.4","(66.3, 79.6)"
"06085503305","70.8","(63.4, 77.5)"
"06085503306","72.1","(65.1, 78.6)"
"06085503312","79.6","(73.6, 84.6)"
"06085503313","74.6","(67.8, 80.5)"
